,abr_cd,abr_cdi,abr_nm,abr_c,abr_z,cd,ds,url
93,28355,2706802,PIAÇABUÇU,N,['0013'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28355-c0001-e000544-v.json
94,28371,2706901,PILAR,N,['0008'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28371-c0001-e000544-v.json
95,28398,2707008,PINDOBA,N,['0005'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28398-c0001-e000544-v.json
96,28410,2707107,PIRANHAS,N,['0040'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28410-c0001-e000544-v.json
97,28452,2707305,PORTO CALVO,N,['0014'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28452-c0001-e000544-v.json
98,28479,2707404,PORTO DE PEDRAS,N,['0012'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28479-c0001-e000544-v.json
99,28495,2707503,PORTO REAL DO COLÉGIO,N,['0037'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28495-c0001-e000544-v.json
100,28436,2707206,POÇO DAS TRINCHEIRAS,N,['0050'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28436-c0001-e000544-v.json
101,28274,2706406,PÃO DE AÇÚCAR,N,['0011'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28274-c0001-e000544-v.json
102,28517,2707602,QUEBRANGULO,N,['0028'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28517-c0001-e000544-v.json
103,28533,2707701,RIO LARGO,N,['0015'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28533-c0001-e000544-v.json
104,28550,2707800,ROTEIRO,N,['0018'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28550-c0001-e000544-v.json
105,28576,2707909,SANTA LUZIA DO NORTE,N,['0008'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28576-c0001-e000544-v.json
106,28592,2708006,SANTANA DO IPANEMA,N,['0019'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28592-c0001-e000544-v.json
107,28614,2708105,SANTANA DO MUNDAÚ,N,['0021'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28614-c0001-e000544-v.json
108,28770,2708907,SATUBA,N,['0008'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28770-c0001-e000544-v.json
109,28916,2708956,SENADOR RUI PALMEIRA,N,['0051'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28916-c0001-e000544-v.json
110,28630,2708204,SÃO BRÁS,N,['0037'],al,ALAGOAS,https://resultados.tse.jus.br/oficial/ele2022/544/dados/al/al28630-c0001-e000544-v.json
